,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
314,ARRY,"Array Technologies, Inc.",1.80B,-1.51%,6566468,1.58B
315,PLAB,"Photronics, Inc.",1.77B,-2.45%,945153,897.32M
316,EVCM,EverCommerce Inc.,1.76B,-9.63%,857866,675.37M
317,DQ,Daqo New Energy Corp.,1.76B,-1.55%,1186586,2.31B
318,GRND,Grindr Inc.,1.75B,1.22%,518342,259.69M
319,FSLY,"Fastly, Inc.",1.71B,-1.33%,5302519,505.99M
320,NTCT,"NetScout Systems, Inc.",1.69B,-5.72%,5158064,834.11M
321,SPNS,Sapiens International Corporation N.V.,1.68B,-0.47%,200540,514.58M
322,BB,BlackBerry Limited,1.67B,-7.17%,41802065,831.00M
323,CNXN,"PC Connection, Inc.",1.67B,0.16%,197159,2.85B
324,ACMR,"ACM Research, Inc.",1.66B,-1.31%,993365,557.72M
325,PAYO,Payoneer Global Inc.,1.64B,-1.39%,3468685,831.10M
326,PRO,"PROS Holdings, Inc.",1.63B,-0.20%,308972,303.71M
327,VTEX,VTEX,1.63B,-1.81%,375279,201.52M
328,SEMR,"Semrush Holdings, Inc.",1.62B,-0.27%,508528,307.68M
329,NATL,NCR Atleos Corporation,1.60B,-1.09%,889252,-
330,DCBO,Docebo Inc.,1.59B,-1.18%,65720,180.84M
331,VICR,Vicor Corporation,1.58B,1.46%,321302,405.06M
332,CSGS,"CSG Systems International, Inc.",1.50B,0.06%,630266,1.17B
333,STER,Sterling Check Corp.,1.48B,-0.13%,1694480,719.64M
334,COHU,"Cohu, Inc.",1.48B,1.45%,1749060,636.32M
335,SMTC,Semtech Corporation,1.47B,1.83%,1503626,843.32M
336,EXTR,"Extreme Networks, Inc.",1.46B,-0.62%,5292022,1.35B
337,MXL,"MaxLinear, Inc.",1.45B,-0.89%,1290046,693.26M
338,TTMI,"TTM Technologies, Inc.",1.45B,-1.05%,1824205,2.23B
339,GDS,GDS Holdings Limited,1.45B,-5.14%,1706821,1.35B
340,EVBG,"Everbridge, Inc.",1.44B,0.03%,1501350,448.79M
341,AVPT,"AvePoint, Inc.",1.43B,-2.96%,1182770,271.83M
342,GCT,GigaCloud Technology Inc.,1.43B,23.32%,8994871,584.70M
343,COMP,"Compass, Inc.",1.42B,-14.33%,16351700,4.89B
344,HLIT,Harmonic Inc.,1.40B,-2.41%,1684338,607.91M
345,CTS,CTS Corporation,1.38B,0.67%,140591,550.42M
346,MLNK,"MeridianLink, Inc.",1.37B,0.89%,186659,303.62M
347,KN,Knowles Corporation,1.36B,-0.72%,494088,707.60M
348,BASE,"Couchbase, Inc.",1.35B,-3.17%,1043020,171.57M
349,JKS,"JinkoSolar Holding Co., Ltd.",1.35B,1.42%,719932,15.94B
350,AMPL,"Amplitude, Inc.",1.33B,-2.53%,544558,276.28M
351,DBD,"Diebold Nixdorf, Incorporated",1.31B,3.16%,196410,3.49B
352,ZUO,"Zuora, Inc.",1.27B,0.34%,2620750,424.03M
353,CRSR,"Corsair Gaming, Inc.",1.26B,-0.73%,472358,1.46B
354,CSIQ,Canadian Solar Inc.,1.26B,0.31%,2092831,7.61B
355,PDFS,"PDF Solutions, Inc.",1.26B,-3.53%,362200,165.84M
